Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Pred Threat,anomaly_score,is_anomaly
ISSUE-0001,KEY-0001,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Closed,Reporter 3,Assignee 6,2025-01-27,2025-01-30 00:00:00.000000,2.9999999999999747,60.18,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,2200615.9999999995,KRI,User_99,2025-01-27 15:13:00,data_modification,UK,UK,900.0000000000001,26.0,6.0,6884.0,64.592530283528,5909.0,16.686000000000003,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0002,KEY-0002,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 1,Assignee 6,2024-01-15,2025-05-06 02:51:05.231249,477.0,87.74999999999997,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,1648774.9999999998,KRI,User_59,2024-01-15 11:21:00,file_access,JP,JP,1003.0,26.0,9.0,1199.9999999999998,36.487664862421774,7777.0,21.099999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0003,KEY-0003,Supplier Security Compliance Gaps,1,Procurement Security,Critical,Open,Reporter 7,Assignee 6,2023-05-11,2025-05-06 02:51:05.231249,725.9999999999999,69.97,Critical,Finance,Steps to resolve Supplier Security Compliance Gaps,1778080.9999999998,KPI,User_79,2023-05-11 13:52:00,data_modification,USA,USA,1246.0,26.0,13.0,5246.000000000001,39.28404444371325,3295.0,19.393999999999995,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0004,KEY-0004,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Open,Reporter 10,Assignee 13,2023-07-10,2025-05-06 02:51:05.231249,665.9999999999998,85.24,Critical,External Contractors,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2181824.0,KPI,User_38,2023-07-10 01:06:00,login,IN,CN,900.0000000000001,26.0,6.0,2807.0,32.06684599875538,5348.0,21.948,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0005,KEY-0005,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Open,Reporter 7,Assignee 8,2023-05-06,2025-05-06 02:51:05.231249,730.9999999999999,35.75,Critical,Sales,Steps to resolve Inconsistent Review of Security Policies,344462.0000000002,KPI,User_61,2023-05-06 13:51:00,data_modification,FR,FR,900.0000000000001,26.0,10.0,4256.0,77.12980226244255,5508.0,12.7,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0006,KEY-0006,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Low,Resolved,Reporter 3,Assignee 4,2023-09-19,2023-09-28 00:00:00.000000,8.999999999999991,54.75,Critical,Sales,Steps to resolve Missing or Inaccurate Asset Records,308295.0,KPI,User_12,2023-09-19 04:49:00,file_access,DE,DE,900.0000000000001,26.0,6.0,1697.5000000000005,46.24383547335859,3117.0,14.35,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0007,KEY-0007,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Resolved,Reporter 3,Assignee 5,2025-02-09,2025-02-11 00:00:00.000000,2.0000000000000284,46.129999999999995,Critical,External Contractors,Steps to resolve Weak Cloud Storage Access Controls,370925.0,KRI,User_30,2025-02-09 19:20:00,file_access,AU,AU,933.0000000000001,26.0,17.0,1550.0000000000002,41.79639850630954,5832.0,14.226,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0008,KEY-0008,Inadequate Firewall Configurations,1,Network Security,Low,In Progress,Reporter 5,Assignee 10,2025-01-20,2025-05-06 02:51:05.231249,106.00000000000001,60.2,Critical,HR,Steps to resolve Inadequate Firewall Configurations,1812584.9999999998,KPI,User_98,2025-01-20 06:32:00,file_access,IN,USA,900.0000000000001,26.0,12.0,4939.999999999999,48.3470106778356,4696.0,15.44,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0009,KEY-0009,Supplier Security Compliance Gaps,1,Procurement Security,High,Resolved,Reporter 8,Assignee 9,2023-05-10,2023-05-11 00:00:00.000000,1.0000000000000142,42.739999999999995,Critical,Legal,Steps to resolve Supplier Security Compliance Gaps,303799.9999999999,KPI,User_1,2023-05-10 18:13:00,file_access,JP,JP,900.0000000000001,35.0,10.0,4175.000000000001,22.893534844904934,6828.0,13.198,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0010,KEY-0010,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Low,Open,Reporter 10,Assignee 9,2023-01-03,2025-05-06 02:51:05.231249,854.0,50.96,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,523862.5,KPI,User_15,2023-01-03 08:14:00,file_access,USA,USA,1736.0,26.0,21.0,592.4999999999998,31.10250465834617,4583.0,13.592,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0011,KEY-0011,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 6,Assignee 20,2023-06-06,2023-06-09 00:00:00.000000,2.9999999999999747,90.74999999999999,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1135106.0,KPI,User_49,2023-06-06 11:01:00,login,IN,IN,900.0000000000001,26.0,21.0,4562.0,76.35178074683675,6960.0,23.450000000000006,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0012,KEY-0012,Weak Authentication Protocols,1,Access Control,Critical,In Progress,Reporter 3,Assignee 10,2025-02-20,2025-05-06 02:51:05.231249,74.99999999999997,1.9999999999999996,Low,HR,Steps to resolve Weak Authentication Protocols,2458388.0,KPI,User_82,2025-02-20 04:55:00,login,IN,IN,900.0000000000001,26.0,10.0,1571.0,38.29136833419418,3629.0,4.6,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange,4,4,False
ISSUE-0013,KEY-0013,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Medium,Closed,Reporter 7,Assignee 7,2024-03-16,2024-03-22 00:00:00.000000,6.000000000000017,37.18999999999999,Critical,Legal,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1760184.9999999998,KRI,User_90,2024-03-16 15:34:00,data_modification,CN,Unknown,900.0000000000001,26.0,12.0,632.4999999999999,58.274667807671335,3641.0,11.387999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
ISSUE-0014,KEY-0014,Supplier Security Compliance Gaps,1,Procurement Security,Low,Closed,Reporter 8,Assignee 9,2024-04-07,2024-04-17 00:00:00.000000,10.000000000000005,1.9999999999999996,Low,Legal,Steps to resolve Supplier Security Compliance Gaps,686917.5000000002,KPI,User_88,2024-04-07 20:58:00,file_access,CANADA,CANADA,1689.0,26.0,6.0,2439.9999999999995,34.78386161275246,3219.0,2.6000000000000005,Low,No Action Needed | Limit Data Transfer,Green,3,3,False
ISSUE-0015,KEY-0015,Insufficient Access Control Measures,1,Control Effectiveness,Low,Open,Reporter 8,Assignee 16,2023-01-26,2025-05-06 02:51:05.231249,830.9999999999999,1.9999999999999996,Low,External Contractors,Steps to resolve Insufficient Access Control Measures,1798307.5,KPI,User_53,2023-01-26 19:25:00,data_modification,CANADA,CANADA,1277.0,26.0,3.0,3967.4999999999995,55.274123426633885,3414.0,2.4000000000000004,Low,No Action Needed | Limit Data Transfer,Green,3,3,False
ISSUE-0016,KEY-0016,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Closed,Reporter 2,Assignee 6,2023-11-21,2023-11-26 00:00:00.000000,5.000000000000003,67.92,Critical,Legal,Steps to resolve Unauthorized Access Leading to Data Exposure,1483642.5,KRI,User_61,2023-11-21 18:50:00,login,FR,FR,900.0000000000001,26.0,18.0,960.0000000000001,60.35131088196663,6375.0,17.084000000000003,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0017,KEY-0017,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,Closed,Reporter 3,Assignee 8,2024-04-02,2024-04-06 00:00:00.000000,3.999999999999989,48.89,Critical,HR,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,519945.0,KRI,User_92,2024-04-02 08:29:00,file_access,UK,UK,900.0000000000001,26.0,9.0,1765.0,75.60703162336486,3968.0,13.128,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0018,KEY-0018,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Closed,Reporter 6,Assignee 16,2024-10-14,2024-10-23 00:00:00.000000,8.999999999999991,82.92000000000002,Critical,C-Suite Executives,Steps to resolve Delayed Patching of Known Vulnerabilities,1529209.9999999998,KPI,User_50,2024-10-14 00:11:00,data_modification,CN,CN,900.0000000000001,26.0,3.0,2263.9999999999995,48.21203609757254,4055.0,21.283999999999995,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red,1,1,True
ISSUE-0019,KEY-0019,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 8,Assignee 10,2023-06-27,2023-07-06 00:00:00.000000,8.999999999999991,13.129999999999999,Critical,IT,Steps to resolve Incomplete Risk Management Framework,1531735.0,KPI,User_86,2023-06-27 22:37:00,login,Unknown,EU,1641.0,26.0,6.0,2257.5,41.76893028734823,5399.0,6.776000000000001,Medium,Routine Monitoring | Limit Data Transfer,Yellow,4,4,False
ISSUE-0020,KEY-0020,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Closed,Reporter 1,Assignee 9,2024-10-04,2024-10-11 00:00:00.000000,7.000000000000031,24.77,Critical,Finance,Steps to resolve Successful Phishing Attempt Targeting Executives,769217.0,KRI,User_62,2024-10-04 23:18:00,file_access,USA,AU,900.0000000000001,35.0,3.0,3388.9999999999995,54.466132516289605,5966.0,9.454,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red,1,1,True
ISSUE-0021,KEY-0021,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,In Progress,Reporter 9,Assignee 8,2025-03-03,2025-05-06 02:51:05.231249,64.00000000000003,84.09999999999998,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,1235233.9999999998,KRI,User_26,2025-03-03 20:27:00,data_modification,CN,CN,900.0000000000001,28.0,13.0,4006.9999999999995,78.85422632981377,6701.0,22.52,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
